ID_Venta,Asesor,Categoria,Monto_Venta
1000,Carlos Reina,electrodomesticos,392632.0
1001,Ginna Tatiana Leon,celulares,166653.0
1002,,CELULARES,1362524.0
1003,,CELULARES,1570785.0
1004,Ginna Leon,Electrodomésticos,1797498.0
1005,Ginna Leon,Electrodomésticos,426064.0
1006,Heidi Rojas,celulares,302828.0
1007,Heidi Rojas,electrodomesticos,1630358.0
1008,Carlos Reina,Electrodomésticos,
1009,Ginna Tatiana Leon,electrodomesticos,1577594.0
1010,Ginna Tatiana Leon,CELULARES,267335.0
1011,Carlos Reina,Electrodomésticos,1433126.0
1012,Ginna Leon,electrodomesticos,1505459.0
1013,Ginna Tatiana Leon,celulares,458903.0
1014,Ginna Leon,CELULARES,666121.0
1015,Ginna Tatiana Leon,CELULARES,1867588.0
1016,Carlos Reina,CELULARES,1788303.0
1017,Heidi Rojas,celulares,1289462.0
1018,Heidi Rojas,CELULARES,929700.0
1019,Ginna Tatiana Leon,Electrodomésticos,392826.0
1020,Carlos Arturo Reina,electrodomesticos,998490.0
1021,Indira Niño,electrodomesticos,390102.0
1022,Carlos Reina,celulares,420531.0
1023,Ginna Tatiana Leon,Electrodomésticos,906915.0
1024,Indira Niño,electrodomesticos,1905185.0
1025,Ginna Tatiana Leon,celulares,1226108.0
1026,Ginna Tatiana Leon,electrodomesticos,1011768.0
1027,Carlos Reina,electrodomesticos,1697950.0
1028,Carlos Reina,electrodomesticos,1164646.0
1029,Ginna Leon,electrodomesticos,1231159.0
1030,Carlos Arturo Reina,celulares,1124680.0
1031,,electrodomesticos,1844129.0
1032,Ginna Leon,celulares,1289833.0
1033,Carlos Reina,Electrodomésticos,1695098.0
1034,Ginna Leon,CELULARES,1253021.0
1035,Carlos Arturo Reina,Electrodomésticos,1230985.0
1036,Ginna Tatiana Leon,CELULARES,936747.0
1037,Ginna Tatiana Leon,electrodomesticos,1185435.0
1038,Ginna Leon,CELULARES,
1039,,CELULARES,115080.0
1040,Ginna Tatiana Leon,celulares,1998803.0
1041,,electrodomesticos,
1042,Ginna Tatiana Leon,Electrodomésticos,377478.0
1043,Carlos Arturo Reina,Electrodomésticos,1091896.0
1044,Ginna Leon,celulares,1003979.0
1045,Indira Niño,Electrodomésticos,213605.0
1046,Ginna Tatiana Leon,celulares,
1047,Carlos Reina,CELULARES,1224672.0
1048,Indira Niño,CELULARES,623882.0
1049,Carlos Reina,Electrodomésticos,1895092.0
1050,Carlos Reina,celulares,1680341.0
1051,Ginna Leon,Electrodomésticos,548260.0
1052,Carlos Reina,CELULARES,918773.0
1053,Indira Niño,electrodomesticos,1631980.0
1054,Carlos Arturo Reina,Electrodomésticos,722241.0
1055,Carlos Reina,celulares,219884.0
1056,Indira Niño,CELULARES,
1057,Ginna Leon,celulares,1516023.0
1058,Indira Niño,celulares,1294695.0
1059,Carlos Arturo Reina,celulares,979178.0
1060,Carlos Arturo Reina,electrodomesticos,528362.0
1061,Heidi Rojas,CELULARES,374471.0
1062,Heidi Rojas,Electrodomésticos,1676774.0
1063,Carlos Reina,Electrodomésticos,1280683.0
1064,Carlos Reina,CELULARES,377781.0
1065,Carlos Reina,CELULARES,430819.0
1066,Carlos Arturo Reina,electrodomesticos,1792611.0
1067,Carlos Reina,electrodomesticos,317236.0
1068,Ginna Leon,electrodomesticos,324470.0
1069,Ginna Leon,electrodomesticos,541722.0
1070,Ginna Leon,electrodomesticos,626639.0
1071,Carlos Reina,celulares,1839269.0
1072,Carlos Reina,electrodomesticos,1436123.0
1073,Ginna Leon,Electrodomésticos,996924.0
1074,Carlos Reina,celulares,1549173.0
1075,Carlos Arturo Reina,celulares,1321611.0
1076,Indira Niño,CELULARES,
1077,Carlos Reina,electrodomesticos,623301.0
1078,Heidi Rojas,Electrodomésticos,1671768.0
1079,Ginna Leon,CELULARES,1800311.0
1080,Indira Niño,celulares,796643.0
1081,Indira Niño,CELULARES,1751244.0
1082,Indira Niño,celulares,566477.0
1083,Indira Niño,electrodomesticos,1767960.0
1084,Ginna Leon,celulares,935643.0
1085,Carlos Reina,electrodomesticos,1168301.0
1086,Carlos Arturo Reina,electrodomesticos,341889.0
1087,Heidi Rojas,CELULARES,656723.0
1088,,Electrodomésticos,1749259.0
1089,Carlos Arturo Reina,celulares,1309192.0
1090,Carlos Reina,Electrodomésticos,
1091,Carlos Arturo Reina,CELULARES,246745.0
1092,Heidi Rojas,electrodomesticos,361358.0
1093,Heidi Rojas,electrodomesticos,784055.0
1094,Heidi Rojas,CELULARES,1494458.0
1095,Ginna Tatiana Leon,CELULARES,731137.0
1096,Carlos Reina,electrodomesticos,1001540.0
1097,Carlos Arturo Reina,electrodomesticos,1027276.0
1098,Carlos Arturo Reina,Electrodomésticos,1769384.0
1099,Ginna Tatiana Leon,celulares,1492202.0
1100,Heidi Rojas,celulares,1675250.0
1101,Heidi Rojas,CELULARES,409023.0
1102,,CELULARES,1381934.0
1103,Carlos Reina,Electrodomésticos,1420713.0
1104,Ginna Tatiana Leon,Electrodomésticos,611672.0
1105,Ginna Tatiana Leon,celulares,1904474.0
1106,Carlos Reina,Electrodomésticos,1786340.0
1107,Carlos Arturo Reina,Electrodomésticos,
1108,Carlos Reina,Electrodomésticos,1074427.0
1109,Carlos Arturo Reina,electrodomesticos,1969455.0
1110,Ginna Tatiana Leon,Electrodomésticos,1248970.0
1111,Ginna Leon,Electrodomésticos,1676590.0
1112,Ginna Tatiana Leon,electrodomesticos,1193244.0
1113,Ginna Leon,electrodomesticos,1596412.0
1114,Heidi Rojas,electrodomesticos,1232781.0
1115,Ginna Leon,CELULARES,420455.0
1116,Carlos Reina,Electrodomésticos,1237938.0
1117,Carlos Reina,CELULARES,916792.0
1118,Carlos Arturo Reina,celulares,1705568.0
1119,Indira Niño,celulares,726236.0
1120,Indira Niño,CELULARES,672386.0
1121,Carlos Reina,Electrodomésticos,1524263.0
1122,Ginna Tatiana Leon,CELULARES,367654.0
1123,Carlos Arturo Reina,celulares,1341289.0
1124,Carlos Reina,celulares,384582.0
1125,Ginna Leon,celulares,786508.0
1126,Heidi Rojas,electrodomesticos,895085.0
1127,Indira Niño,electrodomesticos,1086304.0
1128,,celulares,833920.0
1129,Carlos Reina,celulares,618590.0
1130,Carlos Reina,CELULARES,1093129.0
1131,Carlos Arturo Reina,CELULARES,637381.0
1132,Ginna Leon,celulares,443441.0
1133,Carlos Reina,celulares,1307533.0
1134,Indira Niño,Electrodomésticos,515927.0
1135,Ginna Tatiana Leon,CELULARES,1720009.0
1136,Ginna Tatiana Leon,celulares,1286846.0
1137,Heidi Rojas,Electrodomésticos,244612.0
1138,Heidi Rojas,celulares,1824552.0
1139,Indira Niño,electrodomesticos,1837925.0
1140,Ginna Leon,Electrodomésticos,1194182.0
1141,Heidi Rojas,Electrodomésticos,1831690.0
1142,Heidi Rojas,electrodomesticos,1842169.0
1143,Heidi Rojas,Electrodomésticos,1074564.0
1144,Ginna Tatiana Leon,Electrodomésticos,1136635.0
1145,Ginna Leon,Electrodomésticos,1773175.0
1146,Heidi Rojas,electrodomesticos,1183445.0
1147,Carlos Reina,CELULARES,1124622.0
1148,Ginna Leon,Electrodomésticos,1129326.0
1149,Carlos Reina,celulares,948090.0
1150,Heidi Rojas,electrodomesticos,1213423.0
1151,Ginna Tatiana Leon,electrodomesticos,1051572.0
1152,Heidi Rojas,CELULARES,503878.0
1153,Ginna Tatiana Leon,CELULARES,1648966.0
1154,Ginna Tatiana Leon,electrodomesticos,1846148.0
1155,Ginna Leon,electrodomesticos,129671.0
1156,Ginna Leon,electrodomesticos,
1157,Heidi Rojas,CELULARES,1678719.0
1158,Carlos Reina,electrodomesticos,1023730.0
1159,Carlos Reina,electrodomesticos,1101870.0
1160,Carlos Reina,Electrodomésticos,1310101.0
1161,Carlos Reina,CELULARES,1280360.0
1162,Carlos Reina,CELULARES,1703154.0
1163,Carlos Arturo Reina,CELULARES,897710.0
1164,Indira Niño,electrodomesticos,999321.0
1165,Carlos Arturo Reina,celulares,1652079.0
1166,Ginna Leon,CELULARES,270262.0
1167,Ginna Leon,celulares,956723.0
1168,Carlos Arturo Reina,Electrodomésticos,585440.0
1169,Heidi Rojas,Electrodomésticos,
1170,Heidi Rojas,CELULARES,1242030.0
1171,Ginna Leon,electrodomesticos,249757.0
1172,Heidi Rojas,electrodomesticos,1082930.0
1173,Ginna Tatiana Leon,Electrodomésticos,1149566.0
1174,Indira Niño,celulares,1965254.0
1175,Heidi Rojas,electrodomesticos,
1176,Ginna Tatiana Leon,celulares,1509876.0
1177,Carlos Arturo Reina,celulares,467401.0
1178,Ginna Tatiana Leon,Electrodomésticos,480610.0
1179,Indira Niño,Electrodomésticos,1085683.0
1180,Heidi Rojas,electrodomesticos,1898796.0
1181,Indira Niño,Electrodomésticos,939809.0
1182,Carlos Arturo Reina,celulares,759590.0
1183,Carlos Reina,Electrodomésticos,1829997.0
1184,Ginna Tatiana Leon,Electrodomésticos,493389.0
1185,Carlos Arturo Reina,Electrodomésticos,1693815.0
1186,Heidi Rojas,CELULARES,1018796.0
1187,Indira Niño,celulares,
1188,Ginna Leon,CELULARES,128677.0
1189,Carlos Reina,CELULARES,337945.0
1190,Carlos Reina,CELULARES,1602826.0
1191,Ginna Tatiana Leon,electrodomesticos,1111874.0
1192,Ginna Leon,Electrodomésticos,904438.0
1193,Carlos Arturo Reina,CELULARES,679332.0
1194,Indira Niño,electrodomesticos,1164803.0
1195,Carlos Reina,electrodomesticos,1856314.0
1196,Ginna Tatiana Leon,Electrodomésticos,1036477.0
1197,Heidi Rojas,electrodomesticos,1239655.0
1198,Heidi Rojas,CELULARES,600811.0
1199,Ginna Leon,Electrodomésticos,
1200,Ginna Tatiana Leon,Electrodomésticos,1491856.0
1201,Ginna Tatiana Leon,CELULARES,177635.0
